condition,method,coverage,selective_mae_mm_day,ci95_low_mm_day,ci95_high_mm_day
temperature_plus5,ConformalCSR,0.22,0.6341285430032723,0.5526282193712657,0.7265770064228325
temperature_plus5,ConformalCSR,0.23,0.6423071409638048,0.5553941648356017,0.7283796128612006
temperature_plus5,ConformalCSR,0.24,0.6472599833810613,0.5618549486421712,0.7287684087840419
temperature_plus5,ConformalCSR,0.25,0.6499791722218964,0.5668519237808816,0.7301615484856097
temperature_plus5,ConformalCSR,0.26,0.6490233352763887,0.5697813790454161,0.7318217255774451
temperature_plus5,ConformalCSR,0.27,0.6534782492915172,0.5700184504233737,0.7338013503723402
temperature_plus5,ConformalCSR,0.28,0.6524824872513602,0.5696851347807501,0.7354592679991323
temperature_plus5,ConformalCSR,0.29,0.6577855721963795,0.5693157755623994,0.7372711882171656
temperature_plus5,ConformalCSR,0.3,0.6475075223843801,0.569726893184625,0.7373114936727078
temperature_plus5,ConformalCSR,0.31,0.6460411471082378,0.5700822339365292,0.7377522484299976
temperature_plus5,ConformalCSR,0.32,0.645842770524977,0.5710160258752669,0.7376590054374332
temperature_plus5,ConformalCSR,0.33,0.6444801080280419,0.5710357606389163,0.7351831139366832
temperature_plus5,ConformalCSR,0.34,0.6462977750354203,0.5711404034540779,0.7359853665470575
temperature_plus5,ConformalCSR,0.35000000000000003,0.6450139062755664,0.5721700374563292,0.7356481566389002
temperature_plus5,ConformalCSR,0.36,0.645124740422197,0.5730772484199262,0.7357270104921422
temperature_plus5,ConformalCSR,0.37,0.645223709553624,0.5743670287000562,0.7364056770462749
temperature_plus5,ConformalCSR,0.38,0.6484845777423902,0.5761217811248152,0.7379114598920947
temperature_plus5,ConformalCSR,0.39,0.6510738111787898,0.5763657847922966,0.73710976236893
temperature_plus5,ConformalCSR,0.4,0.6543030809744299,0.5777790560450476,0.7394116904882879
temperature_plus5,ConformalCSR,0.41000000000000003,0.6548519633087989,0.5792875722889591,0.7454007656336974
temperature_plus5,ConformalCSR,0.42,0.6576174890400998,0.5817190583461915,0.7474945971650716
temperature_plus5,ConformalCSR,0.43,0.664124676443662,0.5833191570927978,0.7506402433876808
temperature_plus5,ConformalCSR,0.44,0.6729492141203006,0.5881708271260477,0.7531078404918631
