row_id,station,date,group,landcover,latitude,longitude,openet,eto,y,t_avg,vpd,ws,doy_sin,doy_cos,vp_kpa,vpd_kpa,es_kpa,t_max_c,valid,failed_rules
3492,US-FR2,2005-09-26,US-FR2,Mixed Forests,29.94949,-97.99623,3.3,7.7000003,2.8240347943576336,30.668083333333332,0.2596104166666667,1.979854166666667,-0.99665890175417,-0.0816763953304228,4.4222277234193275,0.2596104166666667,4.6818381400859925,41.182,True,
3493,US-FR2,2005-10-12,US-FR2,Mixed Forests,29.94949,-97.99623,1.7,3.4,2.3492849086739755,22.42116666666667,0.08095625,1.189229166666667,-0.9813064702716092,0.1924515819708299,2.73895447895612,0.08095625,2.8199107289561187,29.916,True,
3494,US-FR2,2005-10-20,US-FR2,Mixed Forests,29.94949,-97.99623,1.4,4.5,1.5061548226903403,23.49841666666667,0.1237375,1.7970416666666666,-0.9455963874271428,0.3253420847119795,2.918153180672132,0.1237375,3.041890680672132,32.834,True,
3495,US-FR2,2005-10-28,US-FR2,Mixed Forests,29.94949,-97.99623,1.2,3.7,0.9232919967750132,15.00552083333333,0.1107770833333333,1.6565833333333335,-0.8919813464595487,0.4520722039323037,1.703064565079211,0.1107770833333333,1.8138416484125448,23.99,True,
3496,US-FR2,2005-11-05,US-FR2,Mixed Forests,29.94949,-97.99623,1.3,4.9,1.6489689452847072,22.626500000000004,0.1114416666666666,3.2294791666666667,-0.8214765533024145,0.5702422926917867,2.7441765060573924,0.1114416666666666,2.8556181727240584,30.867,True,
3497,US-FR2,2005-11-21,US-FR2,Mixed Forests,29.94949,-97.99623,0.4,3.3,0.3732268557224905,9.877979166666668,0.0962291666666666,1.1102083333333337,-0.6354323008901775,0.7721565844991641,1.3005466758227129,0.0962291666666666,1.3967758424893788,22.564,True,
3498,US-FR2,2005-12-23,US-FR2,Mixed Forests,29.94949,-97.99623,0.6,3.3,0.2780242953597071,13.307145833333331,0.0639854166666666,2.8941041666666667,-0.1372787721132651,0.9905324521322229,1.5872625812800791,0.0639854166666666,1.6512479979467458,22.898000000000003,True,
3499,US-FR2,2006-02-09,US-FR2,Mixed Forests,29.94949,-97.99623,1.7,3.2,0.5834376265848026,13.581333333333337,0.08055625,2.4614375,0.6354323008901774,0.7721565844991642,1.5983815208218357,0.08055625,1.6789377708218358,22.52,True,
3500,US-FR2,2006-04-22,US-FR2,Mixed Forests,29.94949,-97.99623,3.0,5.5,3.7428613983399264,23.5049375,0.1189291666666666,1.8673333333333333,0.9368813462954316,-0.3496474552512284,2.924326395177772,0.1189291666666666,3.043255561844437,31.261,True,
3501,US-FR2,2006-04-30,US-FR2,Mixed Forests,29.94949,-97.99623,3.4,6.2000003,5.087079598626615,21.619979166666663,0.1763124999999999,1.8634583333333332,0.8800122039735357,-0.4749510720670499,2.6897122643398563,0.1763124999999999,2.866024764339857,31.766,True,
3502,US-FR2,2006-05-16,US-FR2,Mixed Forests,29.94949,-97.99623,3.1,5.6,3.309992823886213,20.613750000000003,0.1530145833333333,1.6622500000000002,0.717676913675962,-0.6963762255968722,2.504394991673637,0.1530145833333333,2.657409575006969,30.462,True,
3503,US-FR2,2006-06-09,US-FR2,Mixed Forests,29.94949,-97.99623,4.2,8.5,3.015251456242733,28.86641666666665,0.2161583333333333,1.9309791666666671,0.3777079652039649,-0.9259247771938498,3.96148202967608,0.2161583333333333,4.177640363009414,36.266,True,
3504,US-FR2,2006-07-19,US-FR2,Mixed Forests,29.94949,-97.99623,4.7,8.3,2.5566952065252764,29.41350000000001,0.1801854166666666,1.7137083333333332,-0.2967128192734901,-0.9549667548552552,4.0898427280410585,0.1801854166666666,4.270028144707724,36.714,True,
3505,US-FR2,2006-08-12,US-FR2,Mixed Forests,29.94949,-97.99623,2.3,8.3,1.010319721485649,30.002125000000003,0.18220625,2.9705625,-0.655156357209085,-0.7554933140726804,4.232624603705523,0.18220625,4.414830853705523,38.309,True,
3506,US-FR2,2006-08-20,US-FR2,Mixed Forests,29.94949,-97.99623,2.0,6.7000003,0.7632991764765394,30.570666666666657,0.2086020833333334,1.5603541666666667,-0.7526668275320083,-0.6584015846980489,4.363917204474844,0.2086020833333334,4.572519287808175,38.291,True,
